PowerHub Data Log,"Created 12/09/2019, 02:06:05"
,Hint: Trends in power consumption can be seen easier if you use your favorite spreadsheet program's graphing tools.
Date / Time (UTC),Voltage,Current,Power Factor,Wattage,Notification Triggered?
12/07/2019 15:03:18,218.1,0.21,0.64,29.31264,False
12/07/2019 15:03:19,218.3,0.21,0.65,29.797950000000004,False
12/07/2019 15:03:21,218.9,0.03,0.64,4.20288,False
12/07/2019 15:03:23,218.8,0.0,0.0,0.0,False
12/07/2019 15:03:25,217.7,0.0,0.0,0.0,False
12/07/2019 15:03:27,218.3,0.0,0.0,0.0,False
12/07/2019 15:03:30,218.4,0.0,0.0,0.0,False
12/07/2019 15:03:32,218.3,0.0,0.0,0.0,False
12/07/2019 15:03:34,218.4,0.0,0.0,0.0,False
12/07/2019 15:03:35,218.5,0.17,0.29,10.77205,False
12/07/2019 15:03:37,221.2,0.03,0.0,0.0,False
12/07/2019 15:03:39,221.4,0.03,0.09,0.59778,False
12/07/2019 15:03:41,221.5,0.03,0.09,0.59805,False
12/07/2019 15:03:43,220.9,0.04,0.2,1.7672,False
12/07/2019 15:03:45,220.1,0.07,0.47,7.24129,False
12/07/2019 15:03:48,221.8,0.07,0.46,7.141960000000001,False
12/07/2019 15:03:49,221.6,0.11,0.55,13.406800000000002,False
12/07/2019 15:03:50,221.6,0.11,0.55,13.406800000000002,False
12/07/2019 15:03:51,221.6,0.11,0.55,13.406800000000002,False
12/07/2019 15:03:52,221.6,0.11,0.55,13.406800000000002,False
12/07/2019 15:03:53,221.6,0.11,0.55,13.406800000000002,False
12/07/2019 15:03:54,221.5,0.11,0.55,13.40075,False
12/07/2019 15:03:55,221.6,0.11,0.55,13.406800000000002,False
12/07/2019 15:03:56,221.7,0.11,0.55,13.41285,False
12/07/2019 15:03:57,221.7,0.11,0.55,13.41285,False
12/07/2019 15:03:58,221.7,0.11,0.55,13.41285,False
12/07/2019 15:04:00,221.7,0.08,0.56,9.932160000000001,False
12/07/2019 15:04:02,220.1,0.0,0.0,0.0,False
12/07/2019 15:04:04,221.4,0.0,0.0,0.0,False
12/07/2019 15:04:07,221.6,0.0,0.0,0.0,False
12/07/2019 15:04:09,221.6,0.0,0.0,0.0,False
12/07/2019 15:04:11,221.3,0.0,0.0,0.0,False
12/07/2019 15:04:13,221.3,0.0,0.0,0.0,False
12/07/2019 15:04:15,221.1,0.0,0.0,0.0,False
12/07/2019 15:04:17,221.0,0.0,0.0,0.0,False
12/07/2019 15:04:19,221.2,0.0,0.0,0.0,False
12/07/2019 15:04:21,220.9,0.0,0.0,0.0,False
12/07/2019 15:04:23,220.8,0.0,0.0,0.0,False
12/07/2019 15:04:25,220.7,0.0,0.0,0.0,False
12/07/2019 15:04:28,220.8,0.0,0.0,0.0,False
